gamma,stan_warmup,stan_sample,stan_eval,stan_ESS,stan_mean,stan_Q2.5,stan_Q97.5,stan_long_warmup,stan_long_sample,stan_long_eval,stan_long_ESS,stan_long_mean,stan_long_Q2.5,stan_long_Q97.5,naive_internal,naive_eval,naive_ESS,naive_mean,naive_Q2.5,naive_Q97.5,naive_long_internal,naive_long_eval,naive_long_ESS,naive_long_mean,naive_long_Q2.5,naive_long_Q97.5,PT_internal,PT_eval,PT_ESS,PT_mean,PT_Q2.5,PT_Q97.5
1,0.055734,0.682376,2.07424807548523,7842.7253740355,-0.0035575139298721,-1.40846594763424,1.39955325311426,0.606877,5.321,11.3521687984467,75015.679038808,-0.00162928135400526,-1.40588617230073,1.40394287764877,0.449171978,0.873573064804077,12703.6445324641,0.00197659957534536,-1.40196226845336,1.41178870142212,5.142035681,9.65022206306458,126156.957015013,0.00339316373628188,-1.40378226722758,1.40711749988968,6.147239179,7.31940722465515,72382.9516500167,-0.00553884238731269,-1.40504990108752,1.40507276100186
5,0.063968,0.534627,1.88401508331299,201.58870610035,-0.111712957512474,-1.22224658201813,1.20931621418069,0.533723,4.7765,10.3092758655548,1605.63349068218,-0.0324383061960343,-1.21663787536441,1.21214476540281,0.414727864,0.787084817886353,8537.04333434672,-0.00794373267566258,-1.21727657047222,1.21359493935658,4.173852016,8.19054698944092,84101.0665830289,0.000460637407071564,-1.21477475353966,1.21470382315862,5.592076885,6.61559104919434,56048.9967749987,0.00216614849113645,-1.21512280894043,1.21345483418283
10,0.045475,0.575823,1.73646092414856,34967.3546095815,-0.979405692007696,-1.19098205939961,-0.722883720818859,0.543918,4.74722,12.1382648944855,12.3154109490378,0.219704467570753,-1.1474629896869,1.16889283714276,0.422291949,0.799459934234619,1085.72346659784,0.0376859940768062,-1.15786794585469,1.16547951253858,4.330595804,9.45339202880859,11628.7667698411,0.00292481264895269,-1.16035480989737,1.15947933395001,5.070660623,6.336580991745,36555.095187525,-0.00566112113402946,-1.1600442188801,1.15803801762727
15,0.050794,0.528574,1.78264808654785,30300.6737885367,-0.987214205492846,-1.1601138319012,-0.788352088122305,0.521421,4.56391,10.4415299892426,318485.300102335,-0.987055164407531,-1.15935523434226,-0.788552183486788,0.42950187,0.873342037200928,132.454414318235,-0.178094585750149,-1.14153818061828,1.12240409997093,4.356685817,8.82779502868652,1528.83463618634,-0.0141867989738329,-1.13444410194851,1.13291835415301,4.833163052,6.06346082687378,26547.5233460238,0.0100266145149043,-1.13369480489472,1.13513583972193
20,0.04615,0.533639,1.77743887901306,36052.3671067351,0.990723258999033,0.822244338033284,1.14065331048646,0.555242,4.57715,10.2582449913025,310026.087414151,0.989966335185214,0.821414756990043,1.13937352624501,0.436699327,0.858134984970093,25.8846705641716,0.103818544476715,-1.11232288709501,1.12138214304293,4.709441682,9.31050705909729,268.836715771991,0.0334967092942459,-1.11655988513391,1.11886599203709,4.758919689,5.84607100486755,17612.6552947083,0.00376792196053498,-1.1176431955885,1.11622581945806
