gamma,naive_long_internal,naive_long_eval,naive_long_ESS,naive_long_mean,naive_long_Q2.5,naive_long_Q97.5,stan_long_internal,stan_long_eval,stan_long_ESS,stan_long_mean,stan_long_Q2.5,stan_long_Q97.5,PT_internal,PT_eval,PT_ESS,PT_mean,PT_Q2.5,PT_Q97.5
1,5.35,8.83,207000,0.0011,-1.4,1.4,5.8,12.4,75000,-0.00163,-1.41,1.4,6.3,8.23,91800,-0.00332,-1.4,1.41
5,4.64,8.33,5200,0.0223,-1.21,1.21,5.09,12.9,1610,-0.0324,-1.22,1.21,5.69,6.85,42800,-6.74e-05,-1.22,1.21
10,4.69,11.4,49,0.00248,-1.16,1.16,4.93,13,12.3,0.22,-1.15,1.17,5.15,6.41,26400,-0.0067,-1.16,1.16
15,4.32,7.82,224000,-0.987,-1.16,-0.788,5.42,12.6,318000,-0.987,-1.16,-0.789,5.19,6.56,16100,0.00386,-1.13,1.13
20,3.82,8,224000,-0.99,-1.14,-0.821,5.14,11.3,310000,0.99,0.821,1.14,4.58,5.96,12500,-0.00782,-1.12,1.12
